invoice_key,filename
10001,AdvancedDisposal_20130630.pdf
10002,Xcel_20140610_2.pdf
10003,Xcel_20140527_RAM.pdf
20001,Xcel_20140610_2.pdf
30001,Xcel_20140610.pdf
40001,Xcel_20140523_RAM_2.pdf
40002,Xcel_20140410_FTS_2.pdf
40003,Xcel_20131022_RAM_3.pdf
40004,Xcel_20131022_RAM_2.pdf
40005,WasteManagement_20140501_4.pdf
40006,SouthCentralElectric_20140501_2.pdf
40007,SaintPaulWater_20140403.pdf
40008,saintpaulwater_20130808.pdf
40009,Saintpaulwater_20130718.pdf
40010,MinnesotaPower_20140617_2.pdf
40011,JohnsSanitary_20140501.pdf
50001,Xcel_20140523.pdf
50002,Xcel_20140512.pdf
50003,Xcel_20140314.pdf
50004,Xcel_20140312_3.pdf
50005,Xcel_20131120_RAM_2.pdf
50006,Xcel_20140326_SIB.pdf
50007,Xcel_20130909_2.pdf
50008,Xcel_20130823_RAM.pdf
50009,SaintPaulWater_20130924.pdf
50010,SaintPaulWater_20130324.pdf
60001,Xcel_20140509.pdf
60002,Xcel_20130711_FTS.pdf
60003,saintpaulwater_20131008.pdf
60004,RedRockRural_20131001.pdf
60005,MinnesotaPower_20140515_2.pdf
60006,MilleLacs_20140528_2.pdf
60007,MilleLacs_20140403_2.pdf
60008,MilleLacs_20130809.pdf
60009,MilleLacs_20130709.pdf
60010,LittleFalls_20130920.pdf
60011,HometownSanitation_20130820.pdf
70001,Xcel_20140502_3.pdf
70002,Wastemanagement_20140301.pdf
70003,wastemanagement_20130901.pdf
70004,Saint Paul Water_20140623.pdf
70005,RepublicServices_20140525.pdf
70006,Nitti_20140601.pdf
70007,Nitti_20140601.pdf
70008,Nitti_20140501.pdf
70009,MilleLacs_20140528.pdf
70010,Mendota_20130831.pdf
70011,GrandRapidsPUC_20131101_2.pdf
80001,Xcel_20140424_RAM_2.pdf
80002,Xcel_20131107.pdf
80003,Xcel_20131023_JJH.pdf
80004,Xcel_20130724_RAM_3.pdf
80005,southcentralelectric_20130601_2.pdf
80006,SaintPaulWater_20131125.pdf
80007,PineCity_20140531.pdf
80008,MinnesotaPower_20130917_2.pdf
80009,GrandRapidsPUC_20140502_3.pdf
80010,GrandRapidsPUC_20140502_2.pdf
90001,Xcel_20131121_RAM.pdf
90002,Xcel_20131009.pdf
90003,Xcel_20130814_FTS.pdf
90004,Xcel_20130710_FTS.pdf
90005,Xcel_20130624_RAM_4.pdf
90006,wastemanagement_20131001_3.pdf
90007,wastemanagement_20130701_2.pdf
90008,GrandRapidsPUC_20140602_4.pdf
100001,Xcel_20131121_JJH.pdf
100002,Xcel_20131113_MCM.pdf
100003,southcentralelectric_20131001_2.pdf
100004,SaintPaulWater_20140422.pdf
100005,NorthStarElectric_20130619.pdf
100006,MilleLacs_20140227.pdf
110001,MinnesotaPower_20130718_3.pdf
110002,HometownSanitation_20140601.pdf
120001,GrandRapidsPUC_20140502_5.pdf
120002,GrandRapidsPUC_20130902_4.pdf
120003,EastCentral_20140424.pdf
120004,Centerpoint_20140506.pdf
120005,Centerpoint_20140408.pdf
120006,Centerpoint_20131111.pdf
130001,GrandRapidsPUC_20131101_4.pdf
130002,GrandRapidsPUC_20131002_2.pdf
130003,GrandRapidsPUC_20130802_5.pdf
130004,EastCentral_20131023.pdf
130005,EastCentral_20130725_2.pdf
140001,GrandRapidsPUC_20131002_5.pdf
140002,EastCentral_20131231.pdf
150001,GrandRapidsPUC_20130902_5.pdf
160001,EastCentral_20140325.pdf
160002,EastCentral_20140223.pdf
160003,Centerpoint_20130924.pdf
170001,EastCentral_20131031.pdf
170002,EastCentral_20130923.pdf
170003,CooperativeLP_20131004_4.pdf
170004,CooperativeLP_20131004_3.pdf
170005,CooperativeLP_20130904_3.pdf
180001,EastCentral_20130923_2.pdf
180002,EastCentral_20130825.pdf
180003,CooperativeLP_20140506_3.pdf
180004,Centerpoint_20140306.pdf
180005,Centerpoint_20131004_2.pdf
190001,EastCentral_20130831.pdf
190002,CooperativeLP_20140604.pdf
190003,Connexus_20140516_2.pdf
190004,Connexus_20140317.pdf
190005,Connexus_20130717.pdf
200001,CooperativeLP_20131004.pdf
200002,Connexus_20130717_3.pdf
200003,ComoOil_20140303.pdf
200004,Centerpoint_20140605.pdf
200005,Centerpoint_20130823.pdf
210001,Centerpoint_20130808_2.pdf
210002,AlliedWaste_20131025.pdf
210003,WasteManagement_20140601_2.pdf
210004,EastCentralElectric_20140325.pdf
220001,Centerpoint_20130702.pdf
220002,AdvancedDisposal_20130731_5.pdf
220003,AdvancedDisposal_20130630_2.pdf
220004,WasteManagement_20140601_2.pdf
230001,AdvancedDisposal_20141031_HistoryCenter.pdf
240001,AlliedWaste_20121025_1500Miss.pdf
240002,AlliedWaste_20120725_1500Miss.pdf
240003,CenterPoint_20141106_FortSnelling.pdf
240004,CenterPoint_20131205_FortSnelling.pdf
240005,CenterPoint_20130510_FortSnelling.pdf
250001,AlliedWaste_20120825_1500Miss.pdf
250002,CenterPoint_20141106_02_FortSnelling.pdf
260001,CenterPoint_20140909_02_Kelley.pdf
260002,CenterPoint_20130508_02_Kelley.pdf
260003,CenterPoint_20130409_Kelley.pdf
260004,CenterPoint_20130409_02_Kelley.pdf
260005,CenterPoint_20130207_Kelley.pdf
260006,CenterPoint_20130109_02_Kelley.pdf
260007,CenterPoint_20141103_02_Mille.pdf
270001,CenterPoint_20110711_Kelley.pdf
270002,CenterPoint_20150122_Lindbergh.pdf
270003,CenterPoint_20140723_Lindbergh.pdf
