end,parent,service,meter,start,key,unit,quantity
2011-11-30T00:00:00,5760820306771968,Trash,,2011-11-01T00:00:00,5629499534213120,yd,2.0
2015-07-31T00:00:00,5761673931522048,Trash,waste-on call,2015-07-01T00:00:00,5629499534213120,yard,1.5
2013-09-10T00:00:00,5762529972191232,Electricity,ACCT433803-179085,2013-08-09T00:00:00,5629499534213120,kwh,790.0
2013-01-31T00:00:00,5762637883244544,Trash,,2013-01-01T00:00:00,5629499534213120,yd,2.0
2014-05-08T00:00:00,5764017373052928,Natural Gas,20193729,2014-04-08T00:00:00,5629499534213120,therm,262.0
2014-01-27T00:00:00,5764748591235072,Street Light,Street-Light,2013-12-19T00:00:00,4785074604081152,kwh,0.0
2014-01-27T00:00:00,5764748591235072,Water,6106456,2013-12-19T00:00:00,5066549580791808,c.f,100.0
2014-01-27T00:00:00,5764748591235072,Electricity,39523049,2013-12-19T00:00:00,5629499534213120,kwh,642.0
2014-01-27T00:00:00,5764748591235072,Trash,Trash-no usage shown,2013-12-19T00:00:00,5910974510923776,yd,0.0
2014-01-27T00:00:00,5764748591235072,Waste Water,,2013-12-19T00:00:00,6192449487634432,cf,100.0
2015-01-02T00:00:00,5765606242516992,Electricity,ACCT433803-179083,2014-12-05T00:00:00,5629499534213120,kwh,930.0
2014-01-08T00:00:00,5765867027562496,Natural Gas,20193729,2013-12-05T00:00:00,5629499534213120,therm,1043.0
2012-08-09T00:00:00,5767281011326976,Electricity,ACCT433803-179084,2012-07-11T00:00:00,5629499534213120,kwh,3949.0
2015-06-22T00:00:00,5767409591910400,Electricity,auto protective lgt ,2015-05-21T00:00:00,4644337115725824,kwh,49.0
2015-06-22T00:00:00,5767409591910400,Electricity,98039604,2015-05-21T00:00:00,4785074604081152,kwh,2221.0
2015-06-22T00:00:00,5767409591910400,Natural Gas,992980,2015-05-21T00:00:00,5066549580791808,therm,13.0
2015-06-22T00:00:00,5767409591910400,Electricity,3470041,2015-05-21T00:00:00,5348024557502464,kwh,1158.0
2015-06-22T00:00:00,5767409591910400,Natural Gas,448033,2015-05-21T00:00:00,5629499534213120,therm,35.0
2015-06-22T00:00:00,5767409591910400,Natural Gas,497267,2015-05-21T00:00:00,5910974510923776,therm,67.0
2015-06-22T00:00:00,5767409591910400,Electricity,49520268+90347176,2015-05-21T00:00:00,6192449487634432,kwh,1393.0
2015-06-22T00:00:00,5767409591910400,Electricity,3470041-demand,2015-05-21T00:00:00,6473924464345088,kw,3.0
2013-08-06T00:00:00,5768939674009600,Natural Gas,20193729,2013-07-08T00:00:00,5629499534213120,therm,0.0
2013-08-30T00:00:00,5769015641243648,Water,,2013-07-30T00:00:00,5629499534213120,100cu.ft.,101.0
2015-04-23T00:00:00,5769720821186560,Natural Gas,898494,2015-03-25T00:00:00,5629499534213120,therm,72.0
2015-05-31T00:00:00,5769928858664960,Electricity,11-30-003,2015-05-01T00:00:00,5066549580791808,kwh,285.0
2015-05-31T00:00:00,5769928858664960,Electricity,11-30-003 Heat,2015-05-01T00:00:00,5629499534213120,kwh,197.0
2015-05-31T00:00:00,5769928858664960,Electricity,12-06-008,2015-05-01T00:00:00,6192449487634432,kwh,298.0
2015-06-30T00:00:00,5790690193702912,Electricity,999400281-demand,2015-05-31T00:00:00,5066549580791808,kw,47.44
2015-06-30T00:00:00,5790690193702912,Electricity,999400281,2015-05-31T00:00:00,5629499534213120,kwh,11800.0
2015-06-13T00:00:00,5803194588332032,Electricity,3434444-200 tower-demand summer,2015-05-13T00:00:00,5066549580791808,kw,15.1
2015-06-13T00:00:00,5803194588332032,Electricity,3434444-200 tower,2015-05-13T00:00:00,5629499534213120,kwh,7800.0
2015-06-13T00:00:00,5803194588332032,Electricity,3434444-200 tower-demand winter,2015-05-13T00:00:00,6192449487634432,kw,20.9
,5917424209625088,Propane,propane,2015-02-17T00:00:00,5066549580791808,gallon,1237.7
,5917424209625088,Oil,# 2 Dyed LS,2015-03-03T00:00:00,5629499534213120,gallons,165.0
,5917424209625088,Oil,# 2 Dyed LS,2015-02-17T00:00:00,6192449487634432,gallon,282.7
2015-04-20T00:00:00,5927259416297472,Natural Gas,M20101505909,2015-03-19T00:00:00,5629499534213120,therm,116.0
2015-03-03T00:00:00,5927389607493632,Natural Gas,M19900844585,2015-02-02T00:00:00,5066549580791808,therm,585.0
2015-03-03T00:00:00,5927389607493632,Natural Gas,M19700301165,2015-02-02T00:00:00,5629499534213120,therm,765.0
2015-06-30T00:00:00,5931427682058240,Trash,waste-on call,2015-06-01T00:00:00,5629499534213120,dumpster,1.0
2015-05-31T00:00:00,5937113413451776,Stormwater ,,2015-05-01T00:00:00,5629499534213120,,0.0
2015-06-21T00:00:00,5943932076687360,Electricity,51072,2015-05-24T00:00:00,5629499534213120,kwh,41.0
2009-05-10T00:00:00,5951880853192704,Natural Gas,20193729,2009-04-08T00:00:00,5629499534213120,therm,217.0
